0 1.85775 0.256885
1 1.0904 0.218044
2 1.47766 0.239613
3 1.23509 0.150865
4 1.63922 0.207721
5 1.39793 0.152321
6 1.77232 0.156893
7 1.39365 0.279254
8 1.36377 0.247892
9 1.46483 0.210092
10 1.44482 0.235215
11 1.48723 0.200657
12 1.70167 0.217188
13 1.14384 0.2811
14 1.28186 0.240745
15 1.7823 0.176264
16 1.81645 0.229667
17 1.98435 0.194782
18 1.62465 0.180383
19 1.72381 0.245176
20 1.79299 0.203789
21 1.80897 0.203433
22 1.69625 0.166999
23 1.75285 0.251541
24 1.48448 0.223727
25 1.92483 0.207557
26 1.50365 0.226849
27 1.21841 0.231536
28 1.68742 0.199257
29 1.72231 0.128442
