4	3.5 	3.8 	3.26
5	4 	4.9 	3.47
4	1.5 	3.3 	3.6
6	2 	4 	3.74
6	3.5 	3.9 	3.73
1	2 	3.5 	3.38
2	4 	4.2 	3.5
4	3 	3.6 	3.48
6	5.5 	2.9 	3.52
1	1.5 	3.3 	3.5
2	2.5 	3 	3.32
2	6 	3.7 	3.49
4	5 	3.9 	3.38
5	4 	3.8 	3.65
4	3.5 	3.4 	3.51
5	4.5 	2.8 	3.2
6	4 	2.8 	3.28
3	5.5 	4.2 	3.65
5	2.5 	3.6 	3.33
1	5.5 	3.8 	3.48
1	1.5 	3.5 	3.21
1	2.5 	3.5 	3.69
1	4.5 	3.9 	3.57
5	3.5 	2.4 	3.84
1	3 	3.9 	3.51
3	3 	3.1 	3.5
4	4 	4.1 	3.88
3	3.5 	4.1 	3.33
2	5.5 	3 	3.36
3	3 	3 	3.37
5	2.5 	3.5 	3.79
2	5.5 	3.3 	3.27
1	3 	3.3 	3.46
3	5.5 	2.2 	3.56
1	2.5 	3.7 	3.45
5	3.5 	2.7 	3.3
1	1 	4.2 	3.66
2	2 	3.6 	3.77
6	4 	3.9 	3.45
1	4 	3.9 	3.39
6	2.5 	3 	3.2
2	4.5 	3.9 	3.41
1	4 	3.4 	3.58
4	2.5 	2.5 	3.65
3	3.5 	3.4 	3.22
1	1 	3.3 	3.87
1	6 	2.8 	3.56
1	3.5 	2.5 	3.47
3	2 	4.3 	3.37
6	4.5 	3.6 	3.4
3	3.5 	3.4 	3.8
2	3.5 	3 	3.32
6	4.5 	4.1 	3.21
1	6 	3.8 	3.41
4	2.5 	3.1 	3.54
6	4.5 	4.1 	3.42
6	6 	3.9 	3.64
3	3.5 	3 	3.49
3	3 	3.6 	3.49
4	3 	3.1 	3.57
4	3.5 	4.6 	3.57
5	3 	3.7 	3.49
5	1 	3.5 	3.35
6	3.5 	3.7 	3.64
6	3.5 	3.1 	3.26
3	3.5 	4.2 	3.4
6	2.5 	4.2 	3.34
3	2 	2.8 	3.26
4	5 	3.7 	3.46
2	1 	2.9 	3.39
5	5.5 	3.1 	3.4
3	3.5 	2.8 	3.52
3	2.5 	4.2 	3.31
3	4 	4 	3.36
1	3 	4 	3.88
3	2 	5 	3.48
1	5 	4.3 	3.74
5	5 	3 	3.43
3	3.5 	4.2 	3.65
5	2 	3.5 	3.3
6	2.5 	3.5 	3.82
4	1.5 	3.1 	3.42
5	3.5 	3.7 	3.42
1	3 	2.5 	3.61
6	3 	3.6 	3.66
5	3.5 	3.6 	3.26
4	2 	3.3 	3.24
6	1 	3 	3.78
4	3.5 	3.3 	3.57
5	2 	4 	3.51
5	4 	2.5 	3.77
2	5.5 	3.1 	3.35
5	5 	2.9 	3.76
3	5 	2.7 	3.64
6	4.5 	3.6 	3.47
5	2 	3.7 	3.44
4	3.5 	3.3 	3.37
3	4 	3.1 	3.78
3	3 	4.1 	3.42
1	5 	3.1 	3.45
6	5 	3.6 	3.48
6	2.5 	4 	3.46
3	3 	3.6 	3.74
3	3.5 	2.7 	3.94
6	5.5 	3.8 	3.47
6	4.5 	2.6 	3.68
4	3.5 	3.4 	3.51
3	4 	2.9 	3.91
4	4 	2.5 	3.82
2	1.5 	3.3 	3.67
2	5.5 	3.2 	3.52
1	5.5 	4 	3.67
5	3 	4.3 	3.5
5	5 	3.9 	3.53
2	3 	4 	3.43
6	2.5 	3.6 	3.42
2	5 	3.2 	3.87
1	3.5 	3.9 	3.56
5	3.5 	3.7 	3.58
1	5 	3.1 	3.3
5	6 	4.1 	3.79
4	3.5 	3 	3.34
1	2 	4 	3.49
3	5 	2.9 	3.63
2	5 	2.7 	3.24
5	4.5 	4.1 	3.33
5	3.5 	3.3 	3.6
6	1.5 	2.9 	3.27
3	2.5 	4.1 	3.57
5	4 	4.1 	3.29
6	3 	3.1 	3.8
1	3.5 	3.3 	3.52
2	6 	3.4 	3.59
1	2.5 	3.4 	3.48
4	3 	3.7 	3.39
3	3.5 	2.6 	3.52
5	6 	3.5 	3.23
6	1 	3.1 	3.11
5	1.5 	3.7 	3.58
5	4 	4.2 	3.59
6	5 	4 	3.41
5	4.5 	4 	3.54
5	5.5 	3.8 	3.3
3	1 	2.8 	3.58
4	2 	3.2 	3.15
5	3.5 	3.6 	3.77
1	3.5 	2.9 	3.64
3	4 	3.2 	3.3
2	5 	3.8 	3.7
1	1.5 	4.1 	3.78
2	6 	3.5 	3.51
5	2 	3.4 	3.39
6	2.5 	3.4 	3.16
4	2.5 	2.3 	3.52
1	3.5 	3.3 	3.55
2	4 	3.6 	3.47
5	2 	3.7 	3.38
1	3.5 	3.4 	3.55
2	2 	3.3 	3.5
1	2.5 	3.4 	3.39
1	5.5 	3.8 	3.82
5	3 	3.7 	3.77
3	1.5 	3.9 	3.57
6	5.5 	4.5 	3.23
2	4 	3.8 	3.41
5	1.5 	3 	3.12
1	2 	2.9 	3.69
4	2.5 	4.1 	3.2
4	1 	3.5 	3.47
5	3.5 	3.3 	3.35
